Month,Arrivals,Departures,Internal,Overflights,Total
January,85052,84909,601427,16115,787503
February,75500,75447,573216,13600,737763
March,87907,87966,653641,16928,846442
April,91421,91354,706721,17043,906539
May,94944,94649,780080,16189,985862
June,105522,105571,810253,16782,1038128
July,113863,114128,846783,17788,1092562
August,115290,115399,831933,17932,1080554
September,104350,104260,809520,16192,1034322
October,99236,99824,764457,16532,980049
November,85442,85748,615031,15740,801961
December,87339,87539,602431,16308,793617
Total,1145866,1146794,8595493,197149,11085302
